State,Constituency,Division/Seat No.,Name of Member
Jharkhand                                                   ,Lohardaga,518,Shri  Sudarshan  Bhagat                                            
Jharkhand                                                   ,Dhanbad,521,Shri  Pashupati Nath  Singh                                             
Jharkhand                                                   ,Rajmahal,523,Shri  Devidhan  Besra                                             
Jharkhand                                                   ,Godda,545,Shri  Nishikant  Dubey                                             
Karnataka                                                   ,Udupi Chikmagalur,86,Shri  K Jayaprakash  Hegde                                             
Karnataka                                                   ,Mysore,181,Shri  Adagooru  Vishwanath                                        
Karnataka                                                   ,Chamrajanagar,182,Shri  R.  Dhruvanarayana                                    
Karnataka                                                   ,Bidar,214,Shri  N.Dharam  Singh                                             
Karnataka                                                   ,Mandya,255,Shri  N. Cheluvaraya Swamy  
Karnataka                                                   ,Hassan,277,Shri  H.D.  Devegowda                                         
Karnataka                                                   ,Belgaum,404,Shri  Angadi Suresh  Channabasappa                                     
Karnataka                                                   ,Bangalore Central,415,Shri  P. C.  Mohan                                             
Karnataka                                                   ,Koppal,449,Shri  Shivarama  Gouda                                             
Karnataka                                                   ,Haveri,450,Shri  Udasi Shivkumar  Chanabasappa                                      
Karnataka                                                   ,Chikkodi,452,Shri  Ramesh  Vishwanath   Katti                                
Karnataka                                                   ,Raichur,453,Shri  S.  Pakkirappa                                        
Karnataka                                                   ,Bangalore South,465,Shri    Ananth Kumar                                      
Karnataka                                                   ,Uttara Kannada,484,Shri  Anant Kumar  Hegde                                             
Karnataka                                                   ,Tumkur,488,Shri  G.S.  Basavaraj                                         
Karnataka                                                   ,Bangalore North,489,Shri  D.B. Chandre  Gowda                                             
Karnataka                                                   ,Bijapur,501,Shri  Ramesh Chandappa  Jigajinagi                                        
Karnataka                                                   ,Dharwad,504,Shri  Prahlad  Joshi                                             
Karnataka                                                   ,Bagalkot,506,Shri  P.C.  Gaddigoudar                                       
Karnataka                                                   ,Davanagere,510,Shri   G.M.  Siddeswara                                        
Karnataka                                                   ,Shimoga,528,Shri  B. Y.  Raghavendra                                       
Karnataka                                                   ,Chitradurga,540,Shri  Janardhana  Swamy                                             
Karnataka                                                   ,Dakshina Kannada,548,Shri  Nalin Kumar  Kateel                                            
Kerala                                                      ,Thiruvananthapuram,55,Dr.  Shashi  Tharoor                                           
Kerala                                                      ,Mavelikkara,60,Shri    Kodikunnil  Suresh                                
Kerala                                                      ,Thrissur,119,Shri  P.C.  Chacko                                            
Kerala                                                      ,Kannur,183,Shri  K.  Sudhakaran                                        
Kerala                                                      ,Kozhikode,185,Shri  M. K.  Raghavan                                          
Kerala                                                      ,Chalakudy,186,Shri  K. P.  Dhanapalan                                        
Kerala                                                      ,Ponnani,231,Shri  E. T. Muhammed  Basheer                                           
Kerala                                                      ,Nominated Anglo-Indian,242,Shri  Charles  Dias                                              
Kerala                                                      ,Idukki,245,Adv.  P. T.  Thomas                                            
Kerala                                                      ,Wayanad,246,Shri  M. I.  Shanavas                                          
Kerala                                                      ,Pathanamthitta,247,Shri  Anto  Antony                                            
Kerala                                                      ,Kollam,248,Shri  N.  Peethambarakurup                                  
